,movie_title,movie_release_date,critics_score,audience_score,critics_sentiment,audience_sentiment,movie_image,description,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Distributor,Rating,Box Office (Gross USA),Sound Mix,Aspect Ratio,View the collection
10,White Noise,"Streaming Dec 30, 2022",63,32,positive,negative,https://resizing.flixster.com/4XeencLtKcfePoEYpJVmniuDdsk=/180x258/v2/https://resizing.flixster.com/Jl1mljC7CIs0nrNRwdhmqsyAY_s=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzNjZTViODM4LTlhNmQtNDI5Zi04NzcyLWNjNTU0NWZlOTQ5Ny5qcGc=,"At once hilarious and horrifying, lyrical and absurd, ordinary and apocalyptic, White Noise dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.","Comedy,",English,Noah Baumbach,"Noah Baumbach,",Noah Baumbach,"Nov 25, 2022","Dec 30, 2022",2h 16m,Netflix,R (Brief Violence and Language),,Dolby Digital, Scope (2.35:1),
11,Barbarian,"Streaming Oct 25, 2022",92,71,positive,positive,https://resizing.flixster.com/dmwr8LUltpSD7LvW3OQUM90Jlok=/180x258/v2/https://resizing.flixster.com/Ym6ucXdlZjGTqRWEMVr0r3H16Ro=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA3ZGY2MjgxLTI1NjEtNGFhMC1iYzQ0LTllOGFhYTczNzYxNy5qcGc=,"Traveling to Detroit for a job interview, a young woman books a rental home. But when she arrives late at night, she discovers that the house is double booked and a strange man is already staying there. Against her better judgement, she decides to spend the evening, but soon discovers that there's a lot more to fear than just an unexpected house guest.","Horror,",English,Zach Cregger,"Arnon Milchan,",Zach Cregger,"Sep 9, 2022","Oct 25, 2022",1h 42m,20th Century Studios,R (Language Throughout|Disturbing Material|Nudity|Some Strong Violence and Gore), $40.8M,, Flat (1.85:1),
12,Sick,"Streaming Jan 13, 2023",87,68,positive,positive,https://resizing.flixster.com/8wymdH43sZoAyqWNdFjibu1YJlA=/180x258/v2/https://resizing.flixster.com/ZNLHYPtAZiy-aViK7D4SBdAlqxw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA2MzYzMjhiLThmZGUtNDA4NC04MTRkLWE5NjUyZDYzOTAwOS5qcGc=,"As the pandemic steadily brings the world to a halt, Parker and her best friend Miri decide to quarantine at the family lake house alone--or so they think.","Horror,",English,John Hyams,"Ben Fast,","Kevin Williamson,",,"Jan 13, 2023",1h 23m,,R (Terror|Language Throughout|Strong Violence|Some Drug Use),,,,
13,There's Something Wrong with the Children,"Streaming Jan 17, 2023",62,24,positive,negative,https://resizing.flixster.com/ywn4leBb2IKDGVMKKAqy_bwG7Pk=/180x258/v2/https://resizing.flixster.com/-R_1r39K9YE0zn0T2Lahi_eZFSY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY0YmM3ZWNjLWQzMDQtNDBlOS05ZDJlLWVkZDk1OGUwZmEwMC5qcGc=,"When Margaret (Alisha Wainwright) and Ben (Zach Gilford) take a weekend trip with longtime friends Ellie (Crew) and Thomas (Santos) and their two young children (Briella Guiza and David Mattle), Ben begins to suspect something supernatural is occurring when the kids behave strangely after disappearing into the woods overnight.","Horror,",English,Roxanne Benjamin,"Paige Pemberton,"," T.J. Cimfel, ",,"Jan 17, 2023",1h 32m,,,,,,
14,Nope,"Streaming Nov 18, 2022",83,69,positive,positive,https://resizing.flixster.com/l1ZLcJex3o9HyCsxa2r8kZu-h0s=/180x258/v2/https://resizing.flixster.com/6EeYrywKueOFue9uRSQqLxfGKI0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA0NzZhZTk0LTI3NjctNGZiNi04Yjg4LWRiN2RkNTJiYWZlNy5qcGc=,"A man and his sister discover something sinister in the skies above their California horse ranch, while the owner of a nearby theme park tries to profit from the mysterious, otherworldly phenomenon.","Sci-fi,",English,Jordan Peele,"Jordan Peele,",Jordan Peele,"Jul 22, 2022","Nov 18, 2022",2h 15m,Universal Pictures,R (Some Violence/Bloody Images|Language Throughout), $123.2M,"Dolby Digital, Dolby Atmos",,
15,The Innocents,"Streaming May 13, 2022",96,73,positive,positive,https://resizing.flixster.com/3pvQEbVCHQL9fEibfJc-0QNDEwI=/180x258/v2/https://resizing.flixster.com/pzEH03_uZD07e512pw3H76yU4Pg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJhZTQ4ZTA1LWZkZDctNGE3Yy05OGVhLTMxZjU5MzFlNzYzNy5wbmc=,"During the bright Nordic summer, a group of children reveal mysterious powers. But what starts out innocent soon takes a dark and violent turn in this gripping supernatural thriller.","Horror,",Norwegian,Eskil Vogt,"Maria Ekerhovd,",Eskil Vogt,"May 13, 2022","May 13, 2022",1h 58m,IFC Midnight,, $21.1K,, Scope (2.35:1),
16,Smile,"Streaming Nov 15, 2022",80,77,positive,positive,https://resizing.flixster.com/jqM--MZEccdjjWAYg-8gIyK51YI=/180x258/v2/https://resizing.flixster.com/6Ce6e_0XkidJuYJN0kCXykPDezo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M2ODA3YzkwLWYyM2MtNGFhYS04MGViLTYzN2ZhYWIyYmU1Yi5qcGc=,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter (Sosie Bacon) starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.","Horror,",English,Parker Finn,"Marty Bowen,",Parker Finn,"Sep 30, 2022","Nov 15, 2022",1h 56m,Paramount Pictures,R, $105.9M,,,
17,Hellbender,"Streaming Feb 24, 2022",97,56,positive,negative,https://resizing.flixster.com/S6aGue8SYNWfHEvNNaHDDVwX0T4=/180x258/v2/https://resizing.flixster.com/P3Ri6b9aMGyXGoQq2fAC0W42ZuM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzljOTY4NjE5LWVhNTctNDNmYS05YTk4LWY1Y2Q5NzkyNTlmMy5qcGc=,"A teen and her mother live simply in a home in the woods, spending their time making metal music. A chance encounter with a fellow teen causes her to uncover a connection between her family and witchcraft, which causes a rift with her mother.",Horror,English,"John Adams,",Toby Poser,"Zelda Adams,",,"Feb 24, 2022",1h 26m,,,,,,
18,Pearl,"Streaming Oct 25, 2022",91,82,positive,positive,https://resizing.flixster.com/sHlobaR11-pgvqQD5dNLcylj9_E=/180x258/v2/https://resizing.flixster.com/fy6wQKjgWAks3UbdN3i3i-jvKc4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQzZDgyZTExLTU1MjktNDE3Yi1iNzlkLTA3ZTA5NWU1ZGMwNy5wbmc=,"Filmmaker Ti West returns with another chapter from the twisted world of X, in this astonishing follow-up to the year's most acclaimed horror film. Trapped on her family's isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she's seen in the movies, Pearl finds her ambitions, temptations, and repressions all colliding in this stunning, technicolor-inspired origin story of X's iconic villain.","Horror,",English,Ti West,"Jacob Jaffke,","Ti West,","Sep 16, 2022","Oct 25, 2022",1h 42m,A24,R, $8.2M,Dolby Atmos, Scope (2.35:1),
19,Hereditary,"Streaming Aug 21, 2018",90,69,positive,positive,https://resizing.flixster.com/rWaijuY3qKTEMwAMRvJKO3sILkw=/180x258/v2/https://resizing.flixster.com/lL6dYMMSqVqDTaPgas1mzRy3bSw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NmNjIyZjE1LWI4ZTctNDhhNy1hMTdiLTMwY2QyODRhNjJiNy53ZWJw,"When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and increasingly terrifying secrets about their ancestry, trying to outrun the sinister fate they have inherited.","Horror,",English,Ari Aster,"Kevin Scott Frakes,",Ari Aster,"Jun 8, 2018","Sep 4, 2018",2h 7m,A24,R (Disturbing Images|Brief Graphic Nudity|Drug Use|Horror Violence|Language), $44.1M,Dolby Digital,,
